,dir_name,session_name,file_name,text,Annotation
111,MC04,Session2,0663.txt,seam,
112,MC04,Session2,0677.txt,tea,
113,MC04,Session2,0887.txt,even a simple vocabulary contains symbols,
114,MC04,Session2,0893.txt,bunch,
115,MC04,Session2,1019.txt,upgrade your status to reflect your wealth,
116,MC04,Session2,1027.txt,tall,
117,MC04,Session2,0885.txt,had,
118,MC04,Session2,0891.txt,range was a vital detail,
119,MC04,Session2,0661.txt,eight,
120,MC04,Session2,0675.txt,forks,
121,MC04,Session2,0846.txt,wax,
122,MC04,Session2,0852.txt,now i'm living exactly as i choose,
123,MC04,Session2,0729.txt,seven,
124,MC04,Session2,0715.txt,sticks,
125,MC04,Session2,0701.txt,i don't think it's a good idea,
126,MC04,Session2,0932.txt,corn,
127,MC04,Session2,0926.txt,with,
128,MC04,Session2,0927.txt,hand,
129,MC04,Session2,0933.txt,fold,
130,MC04,Session2,0700.txt,gold can be found anywhere,
131,MC04,Session2,0714.txt,sender,
132,MC04,Session2,0728.txt,sheer,
133,MC04,Session2,0853.txt,air,
134,MC04,Session2,0847.txt,see,
135,MC04,Session2,0674.txt,nice,
136,MC04,Session2,0660.txt,six,
137,MC04,Session2,0890.txt,"this, he added, brought about petty jealousies and petty personal grievances",
138,MC04,Session2,0884.txt,fat,
139,MC04,Session2,1026.txt,why,
140,MC04,Session2,1022.txt,wart,
141,MC04,Session2,0664.txt,fork,
142,MC04,Session2,0670.txt,reap,
144,MC04,Session2,0880.txt,try to work things out,
145,MC04,Session2,0658.txt,mock,
146,MC04,Session2,0894.txt,ease,
147,MC04,Session2,0843.txt,mile,
148,MC04,Session2,0857.txt,tile,
149,MC04,Session2,0710.txt,guess,
150,MC04,Session2,0704.txt,at twilight on the twelfth day we'll have chablis,
151,MC04,Session2,0738.txt,geese,
152,MC04,Session2,0937.txt,dash,
153,MC04,Session2,0923.txt,sink,
154,MC04,Session2,0922.txt,he noted the fact carefully,
155,MC04,Session2,0936.txt,wack,
156,MC04,Session2,0739.txt,timber,
157,MC04,Session2,0705.txt,at twilight on the twelfth day we'll have chablis,
158,MC04,Session2,0711.txt,six,
159,MC04,Session2,0856.txt,rake,
160,MC04,Session2,0842.txt,is,
161,MC04,Session2,0895.txt,fell,
162,MC04,Session2,0659.txt,ache,
163,MC04,Session2,0881.txt,pat,
164,MC04,Session2,0671.txt,i also can be quite vocal,
165,MC04,Session2,0665.txt,one,
166,MC04,Session2,1023.txt,the family requests that flowers be omitted,
167,MC04,Session2,1009.txt,ball,
168,MC04,Session2,1021.txt,eat your raisins outdoors on the porch steps,
169,MC04,Session2,0673.txt,addition and subtraction are learned skills,
170,MC04,Session2,0667.txt,woe,
171,MC04,Session2,0897.txt,we know we can score,
172,MC04,Session2,0883.txt,seed,
173,MC04,Session2,0868.txt,pill,
174,MC04,Session2,0854.txt,aid,
175,MC04,Session2,0698.txt,gash,
176,MC04,Session2,0840.txt,lies,
177,MC04,Session2,0707.txt,neat,
178,MC04,Session2,0713.txt,lender,
179,MC04,Session2,0908.txt,weave,
180,MC04,Session2,0920.txt,"""cable confirmation"", it said translated",
182,MC04,Session2,0934.txt,harm,
184,MC04,Session2,0935.txt,it was a huge part of my life,
185,MC04,Session2,0921.txt,hall,
186,MC04,Session2,0909.txt,form,
187,MC04,Session2,0712.txt,beef,
188,MC04,Session2,0706.txt,reap,
189,MC04,Session2,0841.txt,seat,
190,MC04,Session2,0699.txt,meat,
191,MC04,Session2,0855.txt,rip,
192,MC04,Session2,0869.txt,begin by trying to speak up more,
193,MC04,Session2,0882.txt,steak,
194,MC04,Session2,0896.txt,is,
195,MC04,Session2,0666.txt,five,
196,MC04,Session2,0672.txt,"so, if anybody solicits by phone, make sure you mail the dough to",
197,MC04,Session2,1020.txt,[relax your mouth in its normal position],
198,MC04,Session2,1008.txt,ache,
199,MC04,Session2,1011.txt,all,
200,MC04,Session2,0657.txt,we just didn't look good,
201,MC04,Session2,0870.txt,the structures housing the apartments are of masonry and frame construction,
202,MC04,Session2,0864.txt,ache,
203,MC04,Session2,0694.txt,five,
204,MC04,Session2,0680.txt,mom strongly dislikes appetizers,
205,MC04,Session2,0858.txt,low,
206,MC04,Session2,0723.txt,hash,
207,MC04,Session2,0737.txt,fender,
208,MC04,Session2,0904.txt,rise,
209,MC04,Session2,0910.txt,porcupines resemble sea urchins,
210,MC04,Session2,0938.txt,she will order the wine,
211,MC04,Session2,0939.txt,tip,
212,MC04,Session2,0911.txt,the staff deserves a lot of credit working down here under real obstacles,
213,MC04,Session2,0905.txt,chap,
214,MC04,Session2,0736.txt,beam,
215,MC04,Session2,0722.txt,dock,
216,MC04,Session2,0859.txt,chop,
217,MC04,Session2,0681.txt,bumper,
219,MC04,Session2,0695.txt,code,
221,MC04,Session2,0865.txt,tall,
222,MC04,Session2,0871.txt,arm,
224,MC04,Session2,0656.txt,beat,
225,MC04,Session2,1004.txt,they received all the things they needed,
226,MC04,Session2,1010.txt,both cars were slightly damaged,
227,MC04,Session2,1006.txt,blow,
228,MC04,Session2,1012.txt,horn,
229,MC04,Session2,0668.txt,elderly people are often excluded,
230,MC04,Session2,0898.txt,lip,
231,MC04,Session2,0867.txt,chocolate and roses never fail as a romantic gift,
232,MC04,Session2,0873.txt,charm,
233,MC04,Session2,0683.txt,grandmother outgrew her upbringing in petticoats,
234,MC04,Session2,0697.txt,we have a big house,
235,MC04,Session2,0708.txt,the golfing fathers ruled in his favor,
236,MC04,Session2,0734.txt,ash,
237,MC04,Session2,0720.txt,ambidextrous pickpockets accomplish more,
238,MC04,Session2,0913.txt,the new highway is straight and empty,
239,MC04,Session2,0907.txt,harm,
240,MC04,Session2,0906.txt,dock,
241,MC04,Session2,0912.txt,bed,
242,MC04,Session2,0735.txt,member,
243,MC04,Session2,0709.txt,guess,
244,MC04,Session2,0696.txt,she,
245,MC04,Session2,0682.txt,renter,
246,MC04,Session2,0872.txt,hail,
247,MC04,Session2,0866.txt,tile,
250,MC04,Session2,0655.txt,beat,
251,MC04,Session2,0899.txt,we talked about the situation,
252,MC04,Session2,0669.txt,coat,
253,MC04,Session2,1013.txt,that,
254,MC04,Session2,1007.txt,did you eat yet?,
255,MC04,Session2,1003.txt,bad,
256,MC04,Session2,1017.txt,hall,
257,MC04,Session2,0889.txt,"this, he added, brought about petty jealousies and petty personal grievances",
258,MC04,Session2,0679.txt,yet he remains the fiercest of competitors,
259,MC04,Session2,0686.txt,pete,
260,MC04,Session2,0692.txt,nine,
261,MC04,Session2,0862.txt,he has played very well,
262,MC04,Session2,0876.txt,knock,
263,MC04,Session2,0731.txt,a fire in straw makes a quick blaze,
264,MC04,Session2,0725.txt,two,
265,MC04,Session2,0719.txt,i loved every minute of it,
266,MC04,Session2,0916.txt,owe,
267,MC04,Session2,0902.txt,hat,
268,MC04,Session2,0903.txt,we shelled clams for the chowder,
269,MC04,Session2,0917.txt,pad,
270,MC04,Session2,0718.txt,zero,
271,MC04,Session2,0724.txt,they will take a wedding trip later,
272,MC04,Session2,0730.txt,fit,
273,MC04,Session2,0877.txt,heat,
274,MC04,Session2,0863.txt,bunch,
275,MC04,Session2,0687.txt,see,
276,MC04,Session2,0678.txt,reef,
277,MC04,Session2,0888.txt,take,
278,MC04,Session2,1016.txt,hate,
279,MC04,Session2,1002.txt,they'll never fit me again,
280,MC04,Session2,1014.txt,win,
281,MC04,Session2,1000.txt,cake,
282,MC04,Session2,0691.txt,bender,
283,MC04,Session2,0849.txt,ticks,
284,MC04,Session2,0685.txt,food,
285,MC04,Session2,0875.txt,are,
286,MC04,Session2,0861.txt,the job also covers a number of other items,
287,MC04,Session2,0726.txt,those people are much quicker than i am,
288,MC04,Session2,0732.txt,beast,
289,MC04,Session2,0929.txt,regular attendance is seldom required,
290,MC04,Session2,0901.txt,sticks,
291,MC04,Session2,0915.txt,last year's gas shortage caused steep price increases,
292,MC04,Session2,0914.txt,last year's gas shortage caused steep,
293,MC04,Session2,0900.txt,pet,
294,MC04,Session2,0928.txt,"bow [as in ""bow and arrow""]",
295,MC04,Session2,0733.txt,she suggested we all have dinner together,
296,MC04,Session2,0727.txt,me,
297,MC04,Session2,0860.txt,end,
298,MC04,Session2,0874.txt,pat,
299,MC04,Session2,0684.txt,it was very popular with our fans,
300,MC04,Session2,0848.txt,rakes,
301,MC04,Session2,0690.txt,seven,
302,MC04,Session2,1001.txt,hid,
303,MC04,Session2,1015.txt,seed,
304,MC04,Session2,0813.txt,have no fear if you come alone,
305,MC04,Session2,0807.txt,full,
306,MC04,Session2,0768.txt,sea,
307,MC04,Session2,0740.txt,[relax your mouth in its normal position],
308,MC04,Session2,0998.txt,there is such a program,
309,MC04,Session2,0754.txt,it requires no big investment,
310,MC04,Session2,0967.txt,hail,
311,MC04,Session2,0973.txt,he can't abide mistakes in his own game,
312,MC04,Session2,0783.txt,dug,
313,MC04,Session2,0797.txt,i didn't know where they were coming from,
314,MC04,Session2,0796.txt,the eastern coast is a place for pure pleasure and excitement,
315,MC04,Session2,0782.txt,lax,
316,MC04,Session2,0972.txt,rise,
317,MC04,Session2,0966.txt,waste,
318,MC04,Session2,0755.txt,to,
319,MC04,Session2,0999.txt,court,
320,MC04,Session2,0741.txt,that pickpocket was caught red-handed,
321,MC04,Session2,0769.txt,knife,
322,MC04,Session2,0806.txt,ease,
323,MC04,Session2,0812.txt,we all sat down and relaxed,
324,MC04,Session2,0804.txt,there was no confirmation of such massive assaults from independent sources,
325,MC04,Session2,0810.txt,we experience distress and frustration obtaining our degrees,
326,MC04,Session2,0838.txt,cat,
327,MC04,Session2,0757.txt,worse luck was still to come,
328,MC04,Session2,0743.txt,her position covers a number of daily tasks common to any social director,
330,MC04,Session2,0970.txt,term,
331,MC04,Session2,0964.txt,continental drift is a geological theory,
332,MC04,Session2,0794.txt,duck,
333,MC04,Session2,0958.txt,wise,
334,MC04,Session2,0780.txt,cash,
335,MC04,Session2,0781.txt,it was a great meeting,
336,MC04,Session2,0959.txt,handle it any way you have to,
337,MC04,Session2,0965.txt,pant,
338,MC04,Session2,0971.txt,sort,
339,MC04,Session2,0742.txt,that pickpocket was caught red-handed,
340,MC04,Session2,0756.txt,leap,
341,MC04,Session2,0839.txt,he'll sell them by the box,
342,MC04,Session2,0811.txt,racks,
343,MC04,Session2,0805.txt,academic aptitude guarantees your diploma,
344,MC04,Session2,0829.txt,feet,
345,MC04,Session2,0801.txt,hat,
346,MC04,Session2,0815.txt,reap,
347,MC04,Session2,0752.txt,it,
348,MC04,Session2,0746.txt,seat,
349,MC04,Session2,0949.txt,he took heart and played,
350,MC04,Session2,0791.txt,harm,
352,MC04,Session2,0785.txt,we are the largest of the four states,
353,MC04,Session2,0975.txt,low,
354,MC04,Session2,0961.txt,farm,
355,MC04,Session2,0960.txt,fork,
356,MC04,Session2,0974.txt,pad,
357,MC04,Session2,0784.txt,sake,
358,MC04,Session2,0790.txt,dial,
359,MC04,Session2,0948.txt,docks,
360,MC04,Session2,0747.txt,her dark hair is combed casually,
361,MC04,Session2,0753.txt,i was pleased with the way things went,
362,MC04,Session2,0814.txt,add,
363,MC04,Session2,0800.txt,pit,
364,MC04,Session2,0828.txt,the prowler wore a ski mask for disguise,
365,MC04,Session2,0816.txt,any contributions will be greatly appreciated,
366,MC04,Session2,0802.txt,feet,
367,MC04,Session2,0745.txt,basketball can be an entertaining sport,
368,MC04,Session2,0751.txt,row,
369,MC04,Session2,0989.txt,we've done it in the past,
370,MC04,Session2,0779.txt,ate,
371,MC04,Session2,0786.txt,look for pockets of black sand,
372,MC04,Session2,0792.txt,munch,
373,MC04,Session2,0962.txt,blow,
374,MC04,Session2,0976.txt,had,
375,MC04,Session2,0977.txt,cork,
376,MC04,Session2,0963.txt,row,
377,MC04,Session2,0793.txt,lip,
378,MC04,Session2,0787.txt,leaks,
379,MC04,Session2,0778.txt,hash,
380,MC04,Session2,0988.txt,heat,
381,MC04,Session2,0750.txt,center,
382,MC04,Session2,0744.txt,catastrophic economic cutbacks neglect the poor,
383,MC04,Session2,0803.txt,there was no confirmation of such massive assaults from independent sources,
384,MC04,Session2,0817.txt,sell,
385,MC04,Session1,0359.txt,brought,
386,MC04,Session1,0371.txt,hat,
387,MC04,Session1,0417.txt,he really crucified him; he nailed it for a yard loss,
388,MC04,Session1,0403.txt,down,
389,MC04,Session1,0365.txt,the little schoolhouse stood empty,
390,MC04,Session1,0629.txt,fed,
391,MC04,Session1,0615.txt,foe,
392,MC04,Session1,0173.txt,tile,
393,MC04,Session1,0167.txt,one validated acts of school districts,
394,MC04,Session1,0601.txt,pork,
395,MC04,Session1,0198.txt,knew,
396,MC04,Session1,0007.txt,trade,
397,MC04,Session1,0013.txt,born,
398,MC04,Session1,0239.txt,you'd be better off taking a cold shower,
399,MC04,Session1,0205.txt,boot,
400,MC04,Session1,0563.txt,rid,
401,MC04,Session1,0577.txt,shot,
402,MC04,Session1,0211.txt,he will allow a rare lie,
403,MC04,Session1,0588.txt,catch,
404,MC04,Session1,0589.txt,help celebrate your brother's success,
405,MC04,Session1,0576.txt,goat,
406,MC04,Session1,0204.txt,shear,
407,MC04,Session1,0562.txt,chair,
408,MC04,Session1,0238.txt,hate,
409,MC04,Session1,0012.txt,don't ask me to carry an oily rag like that,
410,MC04,Session1,0006.txt,swarm,
411,MC04,Session1,0199.txt,group,
412,MC04,Session1,0166.txt,four,
413,MC04,Session1,0600.txt,the fish swam across the pond,
414,MC04,Session1,0614.txt,shed,
415,MC04,Session1,0172.txt,here,
416,MC04,Session1,0628.txt,snort,
417,MC04,Session1,0402.txt,those musicians harmonize marvelously,
418,MC04,Session1,0364.txt,fitting,
419,MC04,Session1,0370.txt,i have had my bell rung,
420,MC04,Session1,0416.txt,and,
421,MC04,Session1,0358.txt,november,
422,MC04,Session1,0428.txt,zip,
423,MC04,Session1,0366.txt,echo,
424,MC04,Session1,0400.txt,the pair of shoes was new,
425,MC04,Session1,0414.txt,nice,
426,MC04,Session1,0372.txt,heart,
427,MC04,Session1,0399.txt,dead,
428,MC04,Session1,0158.txt,deer,
429,MC04,Session1,0602.txt,suddenly my reflexes are gone,
430,MC04,Session1,0164.txt,pot,
431,MC04,Session1,0170.txt,just one side got wet,
432,MC04,Session1,0616.txt,bill,
433,MC04,Session1,0038.txt,dug,
434,MC04,Session1,0010.txt,stubble,
435,MC04,Session1,0004.txt,[say 'eee-p-ah' repeatedly],
436,MC04,Session1,0548.txt,thread,
437,MC04,Session1,0212.txt,back,
438,MC04,Session1,0574.txt,rip,
439,MC04,Session1,0560.txt,menu,
440,MC04,Session1,0206.txt,side,
441,MC04,Session1,0561.txt,snake,
442,MC04,Session1,0207.txt,briar,
443,MC04,Session1,0213.txt,bear,
444,MC04,Session1,0575.txt,coconut cream pie makes a nice dessert,
445,MC04,Session1,0549.txt,trespassers can be prosecuted and fined,
446,MC04,Session1,0005.txt,jacket,
447,MC04,Session1,0011.txt,yes,
448,MC04,Session1,0039.txt,trace,
450,MC04,Session1,0171.txt,rocks,
451,MC04,Session1,0617.txt,nice,
452,MC04,Session1,0603.txt,suddenly my reflexes are gone,
453,MC04,Session1,0165.txt,near,
454,MC04,Session1,0159.txt,peer,
455,MC04,Session1,0398.txt,nod,
456,MC04,Session1,0415.txt,"although always alone, we survive",
457,MC04,Session1,0373.txt,witty,
458,MC04,Session1,0367.txt,leak,
459,MC04,Session1,0401.txt,dread,
460,MC04,Session1,0429.txt,i'm willing to experiment for the first time,
461,MC04,Session1,0405.txt,some hotels are available nearby,
462,MC04,Session1,0363.txt,sell,
463,MC04,Session1,0377.txt,he wrapped the package hastily,
464,MC04,Session1,0411.txt,sheet,
465,MC04,Session1,0439.txt,the prospect of cutting back spending is an unpleasant one for any governor,
466,MC04,Session1,0388.txt,seeds,
467,MC04,Session1,0161.txt,mere,
468,MC04,Session1,0607.txt,ride,
469,MC04,Session1,0613.txt,read,
470,MC04,Session1,0175.txt,toot,
471,MC04,Session1,0149.txt,i tried to tell people in the community,
472,MC04,Session1,0015.txt,rake,
473,MC04,Session1,0001.txt,[say 'pah-tah-kah' repeatedly],
474,MC04,Session1,0029.txt,fee,
475,MC04,Session1,0571.txt,muck,
476,MC04,Session1,0217.txt,floor,
477,MC04,Session1,0203.txt,fear,
478,MC04,Session1,0565.txt,boot,
479,MC04,Session1,0559.txt,shop,
480,MC04,Session1,0558.txt,shin,
481,MC04,Session1,0202.txt,though,
482,MC04,Session1,0564.txt,i think i'm full of this stuff,
483,MC04,Session1,0570.txt,critical equipment needs proper maintenance,
484,MC04,Session1,0216.txt,both figures would go higher in later years,
485,MC04,Session1,0028.txt,glow,
486,MC04,Session1,0014.txt,beat,
487,MC04,Session1,0148.txt,the islands are sparsely populated,
488,MC04,Session1,0612.txt,life is short and precious,
489,MC04,Session1,0174.txt,lip,
490,MC04,Session1,0160.txt,sigh,
491,MC04,Session1,0606.txt,shoot,
492,MC04,Session1,0389.txt,seeds,
493,MC04,Session1,0438.txt,nut,
494,MC04,Session1,0376.txt,hem,
495,MC04,Session1,0410.txt,best,
496,MC04,Session1,0404.txt,walk,
497,MC04,Session1,0362.txt,mitten,
498,MC04,Session1,0412.txt,yes,
499,MC04,Session1,0374.txt,pit,
500,MC04,Session1,0360.txt,dart,
501,MC04,Session1,0406.txt,liquor,
502,MC04,Session1,0348.txt,leak,
503,MC04,Session1,0176.txt,suit,
504,MC04,Session1,0610.txt,ship,
505,MC04,Session1,0604.txt,forward,
506,MC04,Session1,0162.txt,white,
507,MC04,Session1,0638.txt,don't do charlie's dirty dishes,
508,MC04,Session1,0002.txt,[relax your mouth in its normal position],
509,MC04,Session1,0016.txt,"but he always answers, ""banana oil!""",
510,MC04,Session1,0566.txt,rake,
511,MC04,Session1,0200.txt,are your grades higher or lower than nancy's?,
512,MC04,Session1,0214.txt,fruit,
513,MC04,Session1,0572.txt,back,
514,MC04,Session1,0228.txt,will robin wear a yellow lily?,
515,MC04,Session1,0599.txt,stimulating discussions keep students' attention,
516,MC04,Session1,0598.txt,sew,
517,MC04,Session1,0229.txt,i scrubbed the floors thoroughly,
518,MC04,Session1,0215.txt,wish,
519,MC04,Session1,0573.txt,barb's gold bracelet was a graduation present,
520,MC04,Session1,0567.txt,lend,
521,MC04,Session1,0201.txt,rock,
522,MC04,Session1,0017.txt,hair,
523,MC04,Session1,0003.txt,[say 'ah-p-eee' repeatedly],
524,MC04,Session1,0639.txt,fort,
525,MC04,Session1,0605.txt,sight,
526,MC04,Session1,0163.txt,air,
527,MC04,Session1,0177.txt,coupe,
528,MC04,Session1,0611.txt,she doesn't like to have it hanging around,
529,MC04,Session1,0349.txt,mike,
530,MC04,Session1,0361.txt,at,
531,MC04,Session1,0407.txt,sell,
532,MC04,Session1,0413.txt,zulu,
533,MC04,Session1,0375.txt,oscar,
534,MC04,Session1,0448.txt,slicker,
535,MC04,Session1,0474.txt,glitter,
536,MC04,Session1,0312.txt,golf,
537,MC04,Session1,0306.txt,thorn,
538,MC04,Session1,0460.txt,sit,
539,MC04,Session1,0138.txt,gnaw,
540,MC04,Session1,0110.txt,beat,
541,MC04,Session1,0104.txt,ship,
542,MC04,Session1,0058.txt,fair,
543,MC04,Session1,0064.txt,sip,
544,MC04,Session1,0070.txt,"lead [as in ""i will lead you""]",
545,MC04,Session1,0528.txt,cake,
546,MC04,Session1,0500.txt,him,
547,MC04,Session1,0266.txt,side,
548,MC04,Session1,0272.txt,hill,
549,MC04,Session1,0514.txt,sketch,
550,MC04,Session1,0299.txt,he further proposed grants of an unspecified sum for experimental hospitals,
551,MC04,Session1,0298.txt,hark,
552,MC04,Session1,0273.txt,nine,
553,MC04,Session1,0501.txt,litter,
554,MC04,Session1,0267.txt,much,
555,MC04,Session1,0529.txt,fork,
556,MC04,Session1,0071.txt,rage,
557,MC04,Session1,0065.txt,air,
558,MC04,Session1,0059.txt,sip,
559,MC04,Session1,0105.txt,"well, he is nearly ninety-three years old;",
560,MC04,Session1,0111.txt,bit,
561,MC04,Session1,0139.txt,prior,
562,MC04,Session1,0307.txt,eight,
563,MC04,Session1,0461.txt,rock,
564,MC04,Session1,0475.txt,sink,
565,MC04,Session1,0313.txt,league,
566,MC04,Session1,0449.txt,whisky,
567,MC04,Session1,0339.txt,fat,
568,MC04,Session1,0463.txt,shoot,
569,MC04,Session1,0305.txt,five,
571,MC04,Session1,0311.txt,[relax your mouth in its normal position],
572,MC04,Session1,0477.txt,a,
573,MC04,Session1,0488.txt,right,
574,MC04,Session1,0649.txt,quart,
575,MC04,Session1,0107.txt,"tear [as in ""tear up that paper""]",
576,MC04,Session1,0113.txt,alpha,
577,MC04,Session1,0073.txt,"a long, flowing beard clings to his chin,",
578,MC04,Session1,0067.txt,down,
579,MC04,Session1,0098.txt,twice each day he plays skillfully and with zest upon our small organ,
580,MC04,Session1,0259.txt,bit,
581,MC04,Session1,0517.txt,steak,
582,MC04,Session1,0271.txt,hill,
583,MC04,Session1,0265.txt,"if you are losing water, replace it immediately",
584,MC04,Session1,0503.txt,being able to dance can help too,
585,MC04,Session1,0264.txt,written,
586,MC04,Session1,0502.txt,ham,
587,MC04,Session1,0516.txt,reap,
588,MC04,Session1,0270.txt,cake,
590,MC04,Session1,0258.txt,the books are very expensive,
591,MC04,Session1,0099.txt,feet,
592,MC04,Session1,0066.txt,sheet,
593,MC04,Session1,0072.txt,"he dresses himself in an ancient black frock coat,",
594,MC04,Session1,0112.txt,race,
595,MC04,Session1,0106.txt,swarm,
596,MC04,Session1,0648.txt,cork,
597,MC04,Session1,0489.txt,wicked,
598,MC04,Session1,0310.txt,day after day some new episode is reported,
599,MC04,Session1,0476.txt,tread,
600,MC04,Session1,0462.txt,left,
601,MC04,Session1,0304.txt,thought,
602,MC04,Session1,0338.txt,alfalfa is healthy for you,
603,MC04,Session1,0300.txt,hitting,
604,MC04,Session1,0466.txt,beg that guard for one gallon of gas,
605,MC04,Session1,0472.txt,he is definitely a notch above us,
606,MC04,Session1,0314.txt,reek,
607,MC04,Session1,0328.txt,start,
608,MC04,Session1,0499.txt,romeo,
609,MC04,Session1,0102.txt,two,
611,MC04,Session1,0116.txt,giving those who observe him a pronounced feeling of the utmost respect,
612,MC04,Session1,0076.txt,storm,
613,MC04,Session1,0062.txt,car,
614,MC04,Session1,0089.txt,storm,
615,MC04,Session1,0274.txt,lick,
616,MC04,Session1,0512.txt,wise,
617,MC04,Session1,0506.txt,shell,
618,MC04,Session1,0260.txt,tell,
619,MC04,Session1,0248.txt,jungle,
620,MC04,Session1,0249.txt,"if you destroy confidence in banks, you do something to the economy, he said",
621,MC04,Session1,0261.txt,pitting,
622,MC04,Session1,0275.txt,hotel,
623,MC04,Session1,0513.txt,shred,
624,MC04,Session1,0088.txt,beta,
625,MC04,Session1,0063.txt,stick,
626,MC04,Session1,0077.txt,left,
627,MC04,Session1,0117.txt,[say 'ah' for 5 seconds],
628,MC04,Session1,0103.txt,know,
629,MC04,Session1,0498.txt,only lawyers love millionaires,
630,MC04,Session1,0329.txt,pretty,
631,MC04,Session1,0473.txt,ned,
632,MC04,Session1,0315.txt,loyal,
633,MC04,Session1,0301.txt,top,
